  i Name             Speed Factor Equilibrium
--- ---------- ----------- ------ -----------
  0 J1          15.5854433 0.8492   0.02
  1 K1          15.0410686 0.8957  14.86
  2 K2          30.0821373 0.7680 208.97
  3 L2          29.5284789 1.0216 182.74
  4 M1          14.4966939 1.3201  72.78
  5 M2          28.9841042 1.0344  10.35
  6 M3          43.4761563 1.0520 195.53
  7 M4          57.9682084 1.0699  20.71
  8 M6          86.9523126 1.1067  31.06
  9 M8         115.9364169 1.1448  41.42
 10 N2          28.4397295 1.0344  27.53
 11 2N2         27.8953548 1.0344  44.70
 12 O1          13.9430356 0.8290 353.16
 13 OO1         16.1391017 0.5315 221.23
 14 P1          14.9589314 1.0000 349.43
 15 Q1          13.3986609 0.8290  10.33
 16 2Q1         12.8542862 0.8290  27.51
 17 R2          30.0410667 1.0000 177.39
 18 S1          15.0000000 1.0000 180.00
 19 S2          30.0000000 1.0000   0.00
 20 S4          60.0000000 1.0000   0.00
 21 S6          90.0000000 1.0000   0.00
 22 T2          29.9589333 1.0000   2.61
 23 LDA2        29.4556253 1.0344 198.06
 24 MU2         27.9682084 1.0344  19.83
 25 NU2         28.5125831 1.0344   2.65
 26 RHO1        13.4715145 0.8290 345.46
 27 MK3         44.0251729 0.9265  25.21
 28 2MK3        42.9271398 0.9583   5.85
 29 MN4         57.4238337 1.0699  37.88
 30 MS4         58.9841042 1.0344  10.35
 31 2SM2        31.0158958 1.0344 349.65
 32 MF           1.0980331 0.6642 204.04
 33 MSF          1.0158958 1.0344 349.65
 34 MM           0.5443747 1.1190 342.83
 35 SA           0.0410686 1.0000 280.57
 36 SSA          0.0821373 1.0000 201.15
 37 SA-IOS       0.0410667 1.0000 357.39
 38 MF-IOS       1.0980331 1.0000 191.68
 39 S1-IOS      15.0000020 0.7223  24.85
 40 OO1-IOS     16.1391017 0.5671 233.96
 41 R2-IOS      30.0410667 1.2463 182.60
 42 A7           1.6424078 0.6642 186.86
 43 2MK5        73.0092771 0.9583  35.57
 44 2MK6        88.0503457 0.8218 229.68
 45 2MN2        29.5284789 1.1067 353.18
 46 2MN6        86.4079379 1.1067  48.24
 47 2MS6        87.9682084 1.0699  20.71
 48 2NM6        85.8635632 1.1067  65.41
 49 2SK5        75.0410686 0.8957  14.86
 50 2SM6        88.9841042 1.0344  10.35
 51 3MK7       101.9933813 0.9913  45.92
 52 3MN8       115.3920422 1.1448  58.59
 53 3MS2        26.9523126 1.1067  31.06
 54 3MS4        56.9523126 1.1067  31.06
 55 3MS8       116.9523126 1.1067  31.06
 56 ALP1        12.3827651 0.8305  20.06
 57 BET1        14.4145567 0.7995 179.82
 58 CHI1        14.5695476 0.8492   9.49
 59 H1          28.9430375 0.9818 191.31
 60 H2          29.0251709 1.0198   7.37
 61 KJ2         30.6265120 0.6697 197.22
 62 ETA2        30.6265120 0.6717 197.89
 63 KQ1         16.6834764 0.5315 204.06
 64 UPS1        16.6834764 0.5501 209.52
 65 M10        144.9205211 1.1841  51.77
 66 M12        173.9046253 1.2249  62.13
 67 MK4         59.0662415 0.7944 219.33
 68 MKS2        29.0662415 0.7944 219.33
 69 MNS2        27.4238337 1.0699  37.88
 70 EPS2        27.4238337 1.0340  36.98
 71 MO3         42.9271398 0.8575   3.51
 72 MP1         14.0251729 0.8492  26.67
 73 TAU1        14.0251729 1.2115  18.95
 74 MPS2        28.9430356 1.0344 179.78
 75 MSK6        89.0662415 0.7944 219.33
 76 MSM          0.4715211 1.1190   7.70
 77 MSN2        30.5443747 1.0699 342.83
 78 MSN6        87.4238337 1.0699  37.88
 79 NLK2        27.8860711 0.8116   1.29
 80 NO1         14.4966939 0.8575  34.37
 81 OP2         28.9019669 0.8290 342.59
 82 OQ2         27.3509801 1.0352  61.88
 83 PHI1        15.1232059 1.0000 211.72
 84 KP1         15.1232059 0.7680 219.55
 85 PI1         14.9178647 1.0000 352.03
 86 TK1         14.9178647 0.8957 347.75
 87 PSI1        15.0821353 1.0000   7.97
 88 RP1         15.0821353 1.0000 187.97
 89 S3          45.0000000 1.0000 180.00
 90 SIG1        12.9271398 0.8290   2.63
 91 SK3         45.0410686 0.8957  14.86
 92 SK4         60.0821373 0.7680 208.97
 93 SN4         58.4397295 1.0344  27.53
 94 SNK6        88.5218668 0.7944 236.50
 95 SO1         16.0569644 0.8492   7.72
 96 SO3         43.9430356 0.8290 353.16
 97 THE1        15.5125897 0.8492  24.90
 98 2PO1        15.9748271 0.8290 345.69
 99 2NS2        26.8794590 1.0699  55.06
100 MLN2S2      26.9523126 1.0930 220.62
101 2ML2S2      27.4966873 1.0930 203.45
102 SKM2        31.0980331 0.7944 198.62
103 2MS2K2      27.8039339 0.6311 322.76
104 MKL2S2      28.5947204 0.8116  42.06
105 M2(KS)2     29.1483788 0.6102  68.30
106 2SN(MK)2    29.3734880 0.8218 168.20
107 2KM(SN)2    30.7086493 0.6311  40.77
108 NO3         42.3827651 0.8575  20.69
109 2MLS4       57.4966873 1.0930 203.45
110 ML4         58.5125831 1.0567 193.09
111 N4          56.8794590 1.0699  55.06
112 SL4         59.5284789 1.0216 182.74
113 MNO5        71.3668693 0.8870  31.04
114 2MO5        71.9112440 0.8870  13.87
115 MSK5        74.0251729 0.9265  25.21
116 3KM5        74.1073101 0.7432  54.92
117 2MP5        72.9271398 1.0699  10.14
118 3MP5        71.9933813 1.1067  41.64
119 MNK5        72.4649024 0.9583  52.74
120 2NMLS6      85.3920422 1.1306 248.15
121 MSL6        88.5125831 1.0567 193.09
122 2ML6        87.4966873 1.0930 203.45
123 2MNLS6      85.9364169 1.1306 230.97
124 3MLS6       86.4807916 1.1306 213.80
125 2MNO7      100.3509735 0.9175  41.40
126 2NMK7      100.9046319 0.9913  80.27
127 2MSO7      101.9112440 0.8870  13.87
128 MSKO7      103.0092771 0.6586 212.49
129 2MSN8      116.4079379 1.1067  48.24
130 2(MS)8     117.9682084 1.0699  20.71
131 2(MN)8     114.8476675 1.1448  75.76
132 2MSL8      117.4966873 1.0930 203.45
133 4MLS8      115.4648958 1.1695 224.15
134 3ML8       116.4807916 1.1306 213.80
135 3MK8       117.0344499 0.8500 240.04
136 2MSK8      118.0503457 0.8218 229.68
137 2M2NK9     129.8887361 1.0253  90.62
138 3MNK9      130.4331108 1.0253  73.45
139 4MK9       130.9774855 1.0253  56.27
140 3MSK9      131.9933813 0.9913  45.92
141 4MN10      144.3761464 1.1841  68.95
142 3MNS10     145.3920422 1.1448  58.59
143 4MS10      145.9364169 1.1448  41.42
144 3MSL10     146.4807916 1.1306 213.80
145 3M2S10     146.9523126 1.1067  31.06
146 4MSK11     160.9774855 1.0253  56.27
147 4MNS12     174.3761464 1.1841  68.95
148 5MS12      174.9205211 1.1841  51.77
149 4MSL12     175.4648958 1.1695 224.15
150 4M2S12     175.9364169 1.1448  41.42
151 M1C         14.4920521 1.2288 185.18
152 3MKS2       26.8701754 0.8500 182.09
153 OQ2-HORN    27.3416965 0.6872   3.49
154 MSK2        28.9019669 0.7944 161.38
155 MSP2        29.0251729 1.0344 200.93
156 2MP3        43.0092771 1.0699  31.28
157 4MS4        55.9364169 1.1448  41.42
158 2MNS4       56.4079379 1.1067  48.24
159 2MSK4       57.8860711 0.8218 171.74
160 3MN4        58.5125831 1.1448   3.54
161 2MSN4       59.5284789 1.1067 353.18
162 3MK5        71.9112440 0.9913  16.21
163 3MO5        73.0092771 0.9175  37.90
164 3MNS6       85.3920422 1.1448  58.59
165 4MS6        85.9364169 1.1448  41.42
166 2MNU6       86.4807916 1.1067  23.36
167 3MSK6       86.8701754 0.8500 182.09
168 MKNU6       87.5788246 0.8218 221.98
169 3MSN6       88.5125831 1.1448   3.54
170 M7         101.4490066 1.4610  83.51
171 2MNK8      116.4900752 0.8500 257.21
172 2(MS)N10   146.4079379 1.1067  48.24
173 MNUS2       27.4966873 1.0699  13.01
174 2MK2        27.8860711 0.8218 171.74
